,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
424,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,,,,,,,,,,,Drake,"['Drake', 'Michael Jackson']",Don't Matter To Me,3894
425,,172.854,False,0.663,0.696,9.0,-4.957,0.0,0.1029999999999999,0.0561,3.8e-05,0.0777999999999999,0.7379999999999999,180.113,79.0,Nicky Jam x J Balvin,['Nicky Jam x J Balvin'],X,3904
426,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,,,,,,,,,,,Drake,['Drake'],Can't Take A Joke,3907
427,,,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],Jocelyn Flores,3919
428,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,,,,,,,,,,,Drake,['Drake'],Sandra's Rose,3920
429,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,,,,,,,,,,,Drake,['Drake'],That's How You Feel,3923
430,,,,,,,,,,,,,,,,Iggy Azalea Feauring Tyga,['Iggy Azalea Feauring Tyga'],Kream,3932
431,,,,,,,,,,,,,,,,Drake,['Drake'],March 14,3936
432,,,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],Everybody Dies In Their Nightmares,3939
433,,,,,,,,,,,,,,,,Post Malone,"['Post Malone', '21 Savage']",Rockstar,3948
434,,,,,,,,,,,,,,,,XXXTENTACION,"['XXXTENTACION', 'Trippie Redd']",F**k Love,3949
435,"['k-pop', 'k-pop girl group']",,,,,,,,,,,,,,,BLACKPINK,['BLACKPINK'],DDU-DU DDU-DU,3969
436,,,,,,,,,,,,,,,,Pitbull x El Chombo x Karol G,"['Pitbull x El Chombo x Karol G', 'Cutty Ranks']",Dame Tu Cosita,3974
437,"['country rap', 'lgbtq+ hip hop', 'pop rap']",,,,,,,,,,,,,,,Nas,"['Nas', 'Kanye West']",Cop Shot The Kid,3977
438,,202.853,False,0.8309999999999998,0.7129999999999999,1.0,-3.646,0.0,0.094,0.1809999999999999,0.0,0.0572,0.69,132.109,65.0,Pharrell Williams x Camila Cabello,['Pharrell Williams x Camila Cabello'],Sangria Wine,4022
439,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",,,,,,,,,,,,,,,J. Cole,['J. Cole'],Kevin's Heart,4027
440,['trap'],,,,,,,,,,,,,,,Swae Lee,"['Swae Lee', 'Slim Jxmmi']",Guatemala,4078
441,[],,,,,,,,,,,,,,,Derez De'Shon,"[""Derez De'Shon""]",Hardaway,4089
442,[],,,,,,,,,,,,,,,N*E*R*D,"['N*E*R*D', 'Rihanna']",Lemon,4098
443,,,,,,,,,,,,,,,,Ozuna x Cardi B,['Ozuna x Cardi B'],La Modelo,4106
444,,,,,,,,,,,,,,,,Selena Gomez X Marshmello,['Selena Gomez X Marshmello'],Wolves,4112
445,"['hollywood', 'show tunes']",,,,,,,,,,,,,,,Lin-Manuel Miranda,"['Lin-Manuel Miranda', 'Ben Platt']",Found / Tonight,4123
446,,,,,,,,,,,,,,,,Jacquees X DeJ Loaf,['Jacquees X DeJ Loaf'],At The Club,4127
447,,,,,,,,,,,,,,,,Maluma X Nego do Borel,['Maluma X Nego do Borel'],Corazon,4148
448,"['pop', 'pop rap', 'rap']",,,,,,,,,,,,,,,Cardi B,['Cardi B'],Bodak Yellow (Money Moves),4149
449,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",,,,,,,,,,,,,,,Logic,"['Logic', 'Alessia Cara', 'Khalid']",1-800-273-8255,4172
450,,,,,,,,,,,,,,,,Natti Natasha x Ozuna,['Natti Natasha x Ozuna'],Criminal,4176
451,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,Quavo,"['Quavo', 'Lil Yachty']",Ice Tray,4206
452,,,,,,,,,,,,,,,,Imagine Dragons,"['Imagine Dragons', 'Khalid']",Thunder/Young Dumb & Broke (Medley),4232
453,"['country', 'oklahoma country']",,,,,,,,,,,,,,,Garth Brooks,['Garth Brooks'],Ask Me How I Know,4252
454,,,,,,,,,,,,,,,,blackbear,['blackbear'],Do Re Mi,4258
455,"['atl hip hop', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,21 Savage,"['21 Savage', 'Metro Boomin']",My Choppa Hate N****s,4283
456,"['atl hip hop', 'deep pop r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap', 'urban contemporary']",,,,,,,,,,,,,,,Jacquees,['Jacquees'],B.E.D.,4289
457,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,Quavo,"['Quavo', ' Takeoff', 'Offset']",Too Hotty,4290
458,,189.466,False,0.7429999999999999,0.7329999999999999,8.0,-5.337,1.0,0.0375,0.00402,0.0,0.3039999999999999,0.622,104.977,77.0,Justin Bieber,"['Justin Bieber', 'BloodPop']",Friends,4301
459,,,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],Revenge,4346
460,,,,,,,,,,,,,,,,Kygo x Selena Gomez,['Kygo x Selena Gomez'],It Ain't Me,4350
