,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
225,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",252.378,True,0.59,0.493,7,-8.704,0,0.0367,0.402,0.00504,0.129,0.0498,150.026,62,Drake,,IMY2 (with Kid Cudi),2006
226,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",133.762,True,0.476,0.161,8,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614,76,Drake,,Yebba’s Heartbreak,2007
227,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",229.303,True,0.32,0.466,8,-6.77,1,0.0374,0.00645,0.0,0.133,0.338,177.693,67,Drake,,Get Along Better,2008
228,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",213.103,True,0.519,0.851,7,-6.001,1,0.29,0.118,0.0,0.178,0.711,123.823,59,Drake,,You Only Live Twice (with Lil Wayne & Rick Ross),2009
229,,['k-pop'],200.689,False,0.806,0.653,8,-6.283,1,0.0902,0.0282,0.000784,0.107,0.85,150.058,70,LISA,,LALISA,2010
230,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",192.417,True,0.843,0.485,10,-8.735,0,0.195,0.181,0.0675,0.107,0.689,100.053,70,Drake,,Fountains (with Tems),2011
231,,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']",174.837,False,0.469,0.673,6,-8.015,1,0.0337,0.418,1.41e-05,0.119,0.578,175.954,63,Justin Moore,,We Didn't Have Much,2013
232,,"['chicago rap', 'hip hop', 'rap']",297.0,False,0.458,0.571,4,-6.739,1,0.0949,0.535,0.000305,0.0846,0.586,110.013,60,Kanye West,,Jail,2014
233,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",351.22,True,0.473,0.53,0,-8.506,1,0.249,0.812,6.92e-06,0.227,0.637,74.732,55,Drake,,The Remorse,2016
234,,"['chicago rap', 'hip hop', 'rap']",204.629,False,0.738,0.471,11,-9.208,0,0.402,0.319,1.28e-06,0.13,0.283,107.98,53,Kanye West,,Ok Ok,2017
