,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
329,,"['eau claire indie', 'folktronica']",254.466,True,0.53,0.712,0,-8.135,1,0.0461,0.44,0.0233,0.0931,0.577,167.964,67,Big Red Machine,,Renegade,2142
330,,"['chicago drill', 'chicago rap', 'drill', 'trap']",221.815,True,0.74,0.611,7,-7.312,1,0.155,0.227,0.0,0.0991,0.534,129.947,50,G Herbo,,Cry No More,2143
331,,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",278.191,True,0.927,0.538,1,-3.917,1,0.116,0.0312,0.0,0.0945,0.221,125.983,58,Migos,,Having Our Way (feat. Drake),2145
332,,['pop'],202.826,False,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,75,Olivia Rodrigo,,enough for you,2147
333,,"['hip hop', 'rap']",146.419,True,0.827,0.571,11,-7.949,1,0.366,0.0195,0.0,0.166,0.62,142.034,63,"Tyler, The Creator",,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),2148
334,,"['plugg', 'pluggnb', 'rage rap']",180.379,True,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,73,Cochise,,Tell Em,2149
335,,"['hip hop', 'rap']",130.979,True,0.62,0.586,1,-6.612,1,0.212,0.155,0.0,0.535,0.487,137.131,60,"Tyler, The Creator",,LEMONHEAD (feat. 42 Dugg),2150
336,,"['hip hop', 'rap']",138.312,True,0.386,0.762,9,-6.341,1,0.564,0.122,0.0,0.527,0.433,170.691,59,"Tyler, The Creator",,LUMBERJACK,2151
337,,"['hip hop', 'rap']",155.292,True,0.371,0.75,7,-5.382,0,0.402,0.601,0.0,0.482,0.729,173.456,66,"Tyler, The Creator",,HOT WIND BLOWS (feat. Lil Wayne),2153
338,,"['hip hop', 'rap']",146.481,True,0.703,0.845,10,-4.851,0,0.337,0.169,0.0,0.122,0.745,97.672,62,"Tyler, The Creator",,CORSO,2154
339,,"['dance pop', 'pop']",188.893,True,0.683,0.615,5,-5.737,1,0.0966,0.222,8.25e-06,0.154,0.45,77.014,64,Doja Cat,,I Don't Do Drugs (feat. Ariana Grande),2155
340,,"['hip hop', 'rap']",88.624,True,0.467,0.635,7,-6.115,1,0.154,0.314,4.16e-06,0.844,0.51,127.596,59,"Tyler, The Creator",,SIR BAUDELAIRE (feat. DJ Drama),2156
341,,"['hip hop', 'rap']",588.139,True,0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,74,"Tyler, The Creator",,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),2157
342,,"['hip hop', 'rap']",223.718,True,0.685,0.855,1,-6.724,0,0.438,0.329,8.9e-05,0.301,0.46,157.181,57,"Tyler, The Creator",,MASSA,2158
343,,"['hip hop', 'rap']",229.564,True,0.665,0.469,10,-7.778,0,0.13,0.565,0.000317,0.219,0.142,115.852,59,"Tyler, The Creator",,RUNITUP (feat. Teezo Touchdown),2159
344,,"['hip hop', 'rap']",175.122,True,0.454,0.866,2,-5.348,1,0.391,0.121,0.0067,0.167,0.518,92.463,54,"Tyler, The Creator",,MANIFESTO (feat. Domo Genesis),2160
345,,"['hip hop', 'rap']",515.865,True,0.555,0.712,1,-7.446,1,0.323,0.0451,5.14e-06,0.182,0.555,78.958,61,"Tyler, The Creator",,WILSHIRE,2161
346,,"['hip hop', 'rap']",203.588,True,0.766,0.814,2,-3.367,1,0.0733,0.044,1.08e-05,0.195,0.481,108.07,56,"Tyler, The Creator",,RISE! (feat. DAISY WORLD),2162
347,,"['florida drill', 'florida rap']",212.026,True,0.816,0.46,8,-8.177,1,0.382,0.0667,0.0,0.128,0.392,159.985,60,SpotemGottem,,Beat Box 4 (with NLE Choppa),2166
348,,"['chicago rap', 'rap']",168.728,True,0.479,0.645,5,-7.336,0,0.302,0.135,0.0,0.0825,0.381,155.057,55,Polo G,,No Return (with The Kid LAROI & Lil Durk),2168
349,,"['new jersey underground rap', 'trap queen']",192.88,True,0.827,0.394,11,-10.073,1,0.559,0.253,0.0,0.12,0.715,157.0,47,Coi Leray,,No More Parties - Remix,2169
350,,"['chicago rap', 'rap']",178.775,True,0.752,0.563,3,-8.066,0,0.209,0.146,0.0,0.103,0.551,145.05,53,Polo G,,GANG GANG (with Lil Wayne),2171
351,,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",206.271,True,0.917,0.623,1,-8.231,1,0.135,0.0985,0.0,0.0833,0.687,126.063,53,Migos,,Avalanche,2173
352,,"['atl hip hop', 'atl trap', 'rap', 'trap']",173.419,True,0.856,0.727,2,-5.616,1,0.277,0.013,0.0,0.117,0.286,146.044,54,Lil Baby,,Still Runnin (feat. Meek Mill),2176
353,,"['atl hip hop', 'atl trap', 'rap', 'trap']",166.911,True,0.788,0.628,11,-5.746,0,0.12,0.00715,0.0,0.132,0.479,104.083,61,Lil Baby,,How It Feels,2177
354,,"['chicago rap', 'rap']",190.509,True,0.506,0.563,1,-7.664,0,0.411,0.0326,0.0,0.0856,0.153,168.146,59,Polo G,,Black Hearted,2178
355,,"['chicago rap', 'rap']",137.691,True,0.522,0.466,3,-8.05,0,0.458,0.331,0.0,0.11,0.459,78.43,52,Polo G,,Painting Pictures,2179
356,,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",241.79,True,0.87,0.629,11,-7.598,0,0.279,0.173,0.0,0.101,0.512,134.944,51,Migos,,Modern Day,2180
357,,"['chicago rap', 'rap']",131.968,True,0.685,0.515,4,-8.666,0,0.291,0.548,0.0,0.119,0.299,162.071,56,Polo G,,Toxic,2181
358,,"['art pop', 'metropopolis', 'nz pop', 'pop']",192.621,False,0.73,0.483,4,-8.565,1,0.0879,0.237,7.99e-05,0.31,0.883,87.996,63,Lorde,,Solar Power,2182
359,,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",248.651,True,0.831,0.719,10,-6.836,1,0.235,0.514,0.0,0.0675,0.859,155.038,50,Migos,,Malibu (feat. Polo G),2183
360,,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",189.511,True,0.772,0.535,1,-7.41,1,0.231,0.038,1.24e-06,0.161,0.207,76.065,45,Migos,,Type Shit (feat. Cardi B),2184
361,,"['chicago rap', 'rap']",165.404,True,0.734,0.712,6,-6.217,0,0.201,0.391,0.0,0.103,0.674,140.369,58,Polo G,,Clueless (with Pop Smoke & Fivio Foreign),2185
362,,"['atl hip hop', 'atl trap', 'rap', 'trap']",209.299,True,0.754,0.66,0,-6.811,1,0.267,0.179,0.0,0.194,0.316,83.0,52,Lil Baby,,Voice of the Heroes,2186
363,,"['chicago rap', 'rap']",168.765,True,0.802,0.588,8,-6.768,1,0.137,0.498,0.0,0.111,0.522,87.501,54,Polo G,,Heart of a Giant (with Rod Wave),2187
364,,"['chicago rap', 'rap']",171.231,True,0.861,0.487,6,-8.533,1,0.131,0.0632,0.0,0.144,0.707,92.998,51,Polo G,,Party Lyfe (with DaBaby),2188
365,,"['chicago rap', 'rap']",161.627,True,0.664,0.375,1,-9.768,1,0.387,0.0135,0.0,0.117,0.145,171.784,48,Polo G,,Go Part 1 (with G Herbo),2189
366,,"['chicago rap', 'rap']",126.625,True,0.738,0.658,5,-7.44,0,0.269,0.0344,0.0,0.419,0.39,128.208,47,Polo G,,Boom,2191
367,,"['atl hip hop', 'atl trap', 'rap', 'trap']",192.92,True,0.744,0.697,11,-4.067,1,0.136,0.0415,0.0,0.112,0.238,150.046,58,Lil Baby,,2040,2192
368,,['pop'],163.586,True,0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,77,Olivia Rodrigo,,"1 step forward, 3 steps back",2193
369,,"['chicago rap', 'rap']",265.404,True,0.772,0.48,6,-11.392,0,0.46,0.242,0.0,0.0975,0.339,91.047,52,Polo G,,Bloody Canvas,2194
370,,"['atl hip hop', 'atl trap', 'rap', 'trap']",173.207,True,0.77,0.561,10,-4.97,0,0.083,0.14,0.0,0.123,0.81,145.928,58,Lil Baby,,Who I Want,2195
371,,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",184.489,True,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,66,Pooh Shiesty,,Back in Blood (feat. Lil Durk),2196
372,,"['atl hip hop', 'atl trap', 'rap', 'trap']",195.063,True,0.742,0.701,1,-5.92,1,0.21,0.0821,0.0,0.116,0.178,137.951,51,Lil Baby,,Still Hood,2197
373,,"['atl hip hop', 'atl trap', 'rap', 'trap']",216.547,True,0.89,0.674,11,-5.45,0,0.318,0.107,0.0,0.111,0.248,134.028,58,Lil Baby,,Okay,2198
374,,"['atl hip hop', 'atl trap', 'rap', 'trap']",172.4,True,0.789,0.609,1,-5.969,1,0.174,0.0439,0.0,0.178,0.0816,136.001,59,Lil Baby,,Man of my Word,2199
375,,"['atl hip hop', 'atl trap', 'rap', 'trap']",187.68,True,0.763,0.798,2,-4.692,1,0.397,0.0555,0.0,0.116,0.482,77.987,48,Lil Baby,,Medical,2200
376,,"['atl hip hop', 'atl trap', 'rap', 'trap']",235.014,True,0.469,0.613,11,-6.556,1,0.335,0.0747,0.0,0.205,0.135,72.434,61,Lil Baby,,Rich Off Pain (feat. Rod Wave),2201
377,,"['atl hip hop', 'atl trap', 'rap', 'trap']",181.98,True,0.741,0.892,10,-4.225,0,0.304,0.172,0.0,0.126,0.56,159.088,50,Lil Baby,,Lying,2202
378,,"['bc underground hip hop', 'country rap', 'maga rap']",229.375,False,0.53,0.826,4,-6.369,1,0.43,0.0209,0.0,0.0915,0.277,95.99,55,Tom MacDonald,,Snowflakes,2203
379,,"['atl hip hop', 'atl trap', 'rap', 'trap']",218.61,True,0.884,0.577,1,-4.716,1,0.319,0.0843,0.0,0.0602,0.854,137.032,56,Lil Baby,,That's Facts,2204
380,,"['atl hip hop', 'atl trap', 'rap', 'trap']",206.253,True,0.677,0.634,7,-6.231,1,0.335,0.228,0.0,0.131,0.496,90.268,52,Lil Baby,,Please,2206
381,,"['atl hip hop', 'atl trap', 'rap', 'trap']",218.417,True,0.644,0.563,0,-9.814,0,0.159,0.0518,0.0,0.179,0.339,160.106,48,Lil Baby,,Up The Side (feat. Young Thug),2207
