,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,song
33,['modern country pop'],166.04,True,0.572,0.722,6,-5.818,1,0.0363,0.512,1.12e-06,0.124,0.636,171.857,83,Tucker Wetmore,Wind Up Missin’ You
34,[],142.514,False,0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,90,Artemas,i like the way you kiss me
35,"['modern country pop', 'singer-songwriter pop']",173.361,True,0.39,0.565,10,-5.575,0,0.0457,0.236,0.0,0.127,0.183,133.85,76,Jessie Murph,Dirty (feat. Teddy Swims)
36,['trap queen'],225.132,True,0.624,0.796,6,-5.413,0,0.169,0.0541,0.0,0.258,0.704,145.212,75,Sexyy Red,U My Everything (feat. Drake)
37,"['corridos tumbados', 'sad sierreno']",130.614,True,0.722,0.74,6,-7.22,0,0.063,0.68,3.27e-05,0.176,0.893,132.731,86,Peso Pluma,LA PATRULLA
38,"['east coast hip hop', 'hip hop', 'rap']",190.074,True,0.61,0.682,7,-4.877,1,0.123,0.318,0.0,0.321,0.694,142.966,77,A$AP Rocky,HIGHJACK
39,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",149.073,True,0.69,0.482,7,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,86,Fuerza Regida,NEL
40,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",383.639,True,0.831,0.643,1,-5.002,1,0.11,0.046,0.0,0.084,0.142,139.948,84,Kendrick Lamar,euphoria
41,"['alternative r&b', 'persian electronic']",161.655,False,0.741,0.754,11,-5.412,0,0.0327,0.00526,8.21e-06,0.125,0.717,126.98,92,Sevdaliza,Alibi (with Pabllo Vittar & Yseult)
42,"['detroit hip hop', 'hip hop', 'rap']",284.892,True,0.649,0.663,10,-9.059,0,0.229,0.263,0.0,0.144,0.208,139.023,78,Eminem,Tobey (feat. Big Sean and BabyTron)
