,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song
2775,,198.688,False,0.5909999999999999,0.814,10.0,-4.725,1.0,0.0365,0.168,9e-06,0.1419999999999999,0.313,118.036,36.0,Carly Pearce,"['Carly Pearce', 'Lee Brice']",I Hope You're Happy Now
2776,,,,,,,,,,,,,,,,Billie Eilish,['Billie Eilish'],Everything I Wanted
2779,,230.488,True,0.504,0.5969999999999999,10.0,-6.237,1.0,0.1,0.2059999999999999,0.0,0.0949,0.557,117.974,62.0,Tyla Yaweh,"['Tyla Yaweh', 'Post Malone']",Tommy Lee
2781,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,"['YoungBoy Never Broke Again', 'Lil Baby']",One Shot
2784,,,,,,,,,,,,,,,,Noah Cyrus,"['Noah Cyrus', 'Leon Bridges']",July
2785,,,,,,,,,,,,,,,,Diplo Presents Thomas Wesley,"['Diplo Presents Thomas Wesley', 'Morgan Wallen']",Heartless
2793,,,,,,,,,,,,,,,,JACKBOYS,"['JACKBOYS', 'Young Thug']",Out West
2794,,,,,,,,,,,,,,,,Lady Gaga,"['Lady Gaga', 'BLACKPINK']",Sour Candy
2795,,161.319,True,0.894,0.6179999999999999,7.0,-4.356,0.0,0.129,0.0807999999999999,0.0,0.558,0.379,119.1,69.0,NAV,"['NAV', ' Gunna', 'Travis Scott']",Turks
2796,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Roddy Ricch']",Cooler Than A Bitch
2800,,,,,,,,,,,,,,,,Future,"['Future', 'YoungBoy Never Broke Again']",Trillionaire
2803,,,,,,,,,,,,,,,,Rosalia,"['Rosalia', 'Travis Scott']",TKN
2804,,,,,,,,,,,,,,,,Eminem,"['Eminem', 'Juice WRLD']",Godzilla
2805,,,,,,,,,,,,,,,,Lil Yachty,"['Lil Yachty', 'Tierra Whack', 'A$AP Rocky', 'Tyler', ' The Creator']",T.D
2807,,,,,,,,,,,,,,,,Anuel AA,"['Anuel AA', 'Bad Bunny']",Hasta Que Dios Diga
2808,,,,,,,,,,,,,,,,Kygo,"['Kygo', 'OneRepublic']",Lose Somebody
2809,,,,,,,,,,,,,,,,Arcangel x Sech,['Arcangel x Sech'],Sigues Con El
2810,,,,,,,,,,,,,,,,Future,"['Future', 'Travis Scott']",Solitaires
2811,,,,,,,,,,,,,,,,Black Eyed Peas X J Balvin,['Black Eyed Peas X J Balvin'],RITMO (Bad Boys For Life)
2813,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Travis Scott']",Top Floor
2815,,,,,,,,,,,,,,,,Gunna,"['Gunna', 'Lil Baby']",Blindfold
2823,,,,,,,,,,,,,,,,Polo G,"['Polo G', 'NLE Choppa', 'Stunna 4 Vegas']",Go Stupid
2824,,,,,,,,,,,,,,,,Polo G,"['Polo G', 'Lil Baby']",Be Something
2827,,,,,,,,,,,,,,,,Mustard,"['Mustard', 'Roddy Ricch']",Ballin'
2829,,,,,,,,,,,,,,,,Future,"['Future', 'Lil Uzi Vert']",All Bad
2837,,,,,,,,,,,,,,,,Future,"['Future', 'Young Thug']",Harlem Shake
2838,,,,,,,,,,,,,,,,Drake,"['Drake', 'Playboi Carti']",Pain 1993
2845,,,,,,,,,,,,,,,,Kehlani,"['Kehlani', 'Tory Lanez']",Can I
2846,,,,,,,,,,,,,,,,Lil Tjay,"['Lil Tjay', 'Fivio Foreign', 'Pop Smoke']",Zoo York
2848,,,,,,,,,,,,,,,,Sam Smith,"['Sam Smith', 'Demi Lovato']",I'm Ready
2851,,,,,,,,,,,,,,,,Future,"['Future', ' Drake', 'Young Thug']",D4L
2852,,,,,,,,,,,,,,,,Kehlani,"['Kehlani', 'Jhene Aiko']",Change Your Life
2853,,,,,,,,,,,,,,,,Drake,"['Drake', 'Future']",Desires
2854,,,,,,,,,,,,,,,,DaBaby,"['DaBaby', 'YoungBoy Never Broke Again']",Jump
2861,,,,,,,,,,,,,,,,Drake,"['Drake', 'Fivio Foreign', 'Sosa Geek']",Demons
2862,,,,,,,,,,,,,,,,Drake,"['Drake', 'Chris Brown']",Not You Too
2870,,,,,,,,,,,,,,,,H.E.R.,"['H.E.R.', 'YG']",Slide
2872,,177.314,True,0.788,0.436,1.0,-9.435,1.0,0.3639999999999999,0.0612,0.0,0.0979,0.341,129.848,6.0,Lil Baby,"['Lil Baby', 'Gunna']",Heatin Up
2878,"['contemporary country', 'pop']",,,,,,,,,,,,,,,Dan,"['Dan', 'Shay', 'Justin Bieber']","10,000 Hours"
2885,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,"['YoungBoy Never Broke Again', 'Sherhonda Gaulden']",Bout My Business
2888,,,,,,,,,,,,,,,,DaBaby,"['DaBaby', 'Ashanti', 'Megan Thee Stallion']",NASTY
2889,,,,,,,,,,,,,,,,G Herbo,"['G Herbo', 'Chance The Rapper', ' Juice WRLD', 'Lil Uzi Vert']",PTSD
2890,,,,,,,,,,,,,,,,YoungBoy Never Broke Again,"['YoungBoy Never Broke Again', 'DaBaby']",Thug Of Spades
2891,,295.176,True,0.6069999999999999,0.8289999999999998,2.0,-4.074,1.0,0.379,0.0103,0.0,0.107,0.685,96.172,81.0,Bad Bunny,"['Bad Bunny', ' Jowell', 'Randy', 'Nengo Flow']",Safaera
2894,,,,,,,,,,,,,,,,DaBaby,"['DaBaby', 'Quavo']",PICK UP
2896,,,,,,,,,,,,,,,,DaBaby,"['DaBaby', 'Future', 'jetsonmade']",LIGHTSKIN SH*T
2900,"['north carolina hip hop', 'rap']",,,,,,,,,,,,,,,DaBaby,['DaBaby'],SAD SHIT
2902,,,,,,,,,,,,,,,,DaBaby,"['DaBaby', 'A Boogie Wit da Hoodie', 'London On Da Track']",DROP
2907,,,,,,,,,,,,,,,,YNW Melly,"['YNW Melly', 'Juice WRLD']",Suicidal
2910,,,,,,,,,,,,,,,,SZA X Justin Timberlake,['SZA X Justin Timberlake'],The Other Side
2915,,205.635,True,0.83,0.625,5.0,-3.678,1.0,0.0573,0.226,0.0,0.3019999999999999,0.884,138.046,64.0,Lil Yachty,"['Lil Yachty', ' Drake', 'DaBaby']",Oprah's Bank Account
2928,,,,,,,,,,,,,,,,Kane Brown,"['Kane Brown', 'John Legend']",Last Time I Say Sorry
2935,,,,,,,,,,,,,,,,Khalid x Disclosure,['Khalid x Disclosure'],Know Your Worth
2955,,,,,,,,,,,,,,,,Lil Uzi Vert,"['Lil Uzi Vert', 'Chief Keef']",Bean (Kobe)
2957,,,,,,,,,,,,,,,,Lil Uzi Vert,"['Lil Uzi Vert', '21 Savage']",Yessirskiii
2958,,,,,,,,,,,,,,,,Kelsea Ballerini x Halsey,['Kelsea Ballerini x Halsey'],The Other Girl
2962,,,,,,,,,,,,,,,,Lil Uzi Vert,"['Lil Uzi Vert', 'Future']",Wassup
2963,,,,,,,,,,,,,,,,Lil Uzi Vert,"['Lil Uzi Vert', 'Young Thug', 'Gunna']",Strawberry Peels
2969,,,,,,,,,,,,,,,,Lil Uzi Vert,"['Lil Uzi Vert', 'NAV']",Leaders
2970,,,,,,,,,,,,,,,,Lil Uzi Vert,"['Lil Uzi Vert', 'Lil Durk']",No Auto
2973,,,,,,,,,,,,,,,,Lil Uzi Vert,"['Lil Uzi Vert', 'Young Thug']",Got The Guap
2974,,,,,,,,,,,,,,,,Lil Uzi Vert,"['Lil Uzi Vert', 'Young Nudy']",Money Spread
2986,,,,,,,,,,,,,,,,Jhene Aiko,"['Jhene Aiko', 'Future', 'Miguel']",Happiness Over Everything (H.O.E.)
2987,,,,,,,,,,,,,,,,Lil Baby,"['Lil Baby', 'Lil Uzi Vert']",Commercial
2990,,,,,,,,,,,,,,,,Lil Uzi Vert,"['Lil Uzi Vert', 'Syd']",Urgency
2991,,,,,,,,,,,,,,,,Bad Bunny,"['Bad Bunny', 'Sech']",Ignorantes
2993,,,,,,,,,,,,,,,,Bad Bunny X Daddy Yankee,['Bad Bunny X Daddy Yankee'],La Santa
2996,,,,,,,,,,,,,,,,Lil Baby,"['Lil Baby', 'Future']",Live Off My Closet
3002,,,,,,,,,,,,,,,,Lil Baby,"['Lil Baby', 'Moneybagg Yo']",No Sucker
3005,[],,,,,,,,,,,,,,,Lil Baby,"['Lil Baby', 'Lil Wayne']",Forever
