Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2014-11-19,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,36,36,15,22,https://charts-static.billboard.com/img/1995/10/enrique-iglesias-m5f-180x180.jpg
2014-11-19,The Heart Wants What It Wants,Selena Gomez,37,37,1,-,https://charts-static.billboard.com/img/2008/06/selena-gomez-lkr-180x180.jpg
2014-11-19,New Flame,Chris Brown Featuring Usher & Rick Ross,38,40,21,13,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg
2014-11-19,Shower,Becky G,39,37,8,20,https://charts-static.billboard.com/img/2014/05/becky-g-v9i-shower-6ar-180x180.jpg
2014-11-19,Dark Horse,Katy Perry Featuring Juicy J,40,48,1,55,https://charts-static.billboard.com/img/2013/10/katy-perry-46r-darkhorse-mm3-180x180.jpg
2014-11-19,Blame,Calvin Harris Featuring John Newman,41,45,28,9,https://charts-static.billboard.com/img/2014/09/calvin-harris-s9n-180x180.jpg
2014-11-19,Wiggle,Jason Derulo Featuring Snoop Dogg,42,41,2,27,https://charts-static.billboard.com/img/2009/07/jason-derulo-d0c-180x180.jpg
2014-11-19,Jealous,Nick Jonas,43,44,43,3,https://charts-static.billboard.com/img/2004/12/nick-jonas-bvx-180x180.jpg
2014-11-19,Hold You Down,DJ Khaled Featuring Chris Brown| August Alsina| Future & Jeremih,44,44,1,-,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
2014-11-19,Centuries,Fall Out Boy,45,49,45,3,https://charts-static.billboard.com/img/2004/01/fall-out-boy-zhw-106x106.jpg
2014-11-19,Waves,Mr. Probz,46,45,2,-,https://charts-static.billboard.com/img/2014/05/mr-probz-ul5-155x155.jpg
2014-11-19,Maps,Maroon 5,47,43,12,20,https://charts-static.billboard.com/img/2014/06/maroon-5-kks-maps-it8-180x180.jpg
2014-11-19,Loyal,Chris Brown Feat. Lil Wayne & Tyga,48,50,5,37,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg
2014-11-19,Marry You,Bruno Mars,49,30,25,3,https://charts-static.billboard.com/img/2010/10/bruno-mars-va7-180x180.jpg
2014-11-19,This Is How We Do,Katy Perry,50,42,20,15,https://charts-static.billboard.com/img/2008/05/katy-perry-46r-180x180.jpg
2014-11-26,Blank Space,Taylor Swift,1,1,1,-,https://charts-static.billboard.com/img/2014/11/taylor-swift-9sy-blankspace-3be-180x180.jpg
2014-11-26,All About That Bass,Meghan Trainor,2,2,1,16,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
2014-11-26,Shake It Off,Taylor Swift,3,1,1,13,https://charts-static.billboard.com/img/2014/08/taylor-swift-9sy-shakeitoff-k72-180x180.jpg
2014-11-26,Hot Boy,Bobby Shmurda,4,3,3,15,https://charts-static.billboard.com/img/2014/07/bobby-shmurda-7fv-180x180.jpg
2014-11-26,No Type,Rae Sremmurd,5,5,5,7,https://charts-static.billboard.com/img/2014/09/rae-sremmurd-f07-106x106.jpg
2014-11-26,Tuesday,I LOVE MAKONNEN Featuring Drake,6,31,6,4,https://charts-static.billboard.com/img/2014/09/i-love-makonnen-sw9-180x180.jpg
2014-11-26,I Don't F**k With You,Big Sean Featuring E-40,7,10,7,5,https://charts-static.billboard.com/img/2011/01/big-sean-obf-180x180.jpg
2014-11-26,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,8,6,4,18,https://charts-static.billboard.com/img/2014/02/young-thug-jvh-180x180.jpg
2014-11-26,Habits (Stay High),Tove Lo,9,7,5,25,https://charts-static.billboard.com/img/2013/10/tove-lo-8n0-180x180.jpg
2014-11-26,Bang Bang,Jessie J| Ariana Grande & Nicki Minaj,10,8,3,16,https://charts-static.billboard.com/img/2011/01/jessie-j-zrp-106x106.jpg
2014-11-26,Love Me Harder,Ariana Grande & The Weeknd,11,4,4,4,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-180x180.jpg
2014-11-26,Take Me To Church,Hozier,12,15,12,5,https://charts-static.billboard.com/img/2014/04/hozier-yyf-takemetochurch-ljk-180x180.jpg
2014-11-26,Animals,Maroon 5,13,13,9,11,https://charts-static.billboard.com/img/2014/09/maroon-5-9st-180x180.jpg
2014-11-26,Chandelier,Sia,14,9,5,27,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
2014-11-26,Jealous,Nick Jonas,15,43,15,4,https://charts-static.billboard.com/img/2004/12/nick-jonas-bvx-180x180.jpg
2014-11-26,Gangnam Style,PSY,16,12,1,82,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnam-style-gr3-180x180.jpg
2014-11-26,Anaconda,Nicki Minaj,17,14,1,14,https://charts-static.billboard.com/img/2014/08/nicki-minaj-000-anaconda-72l-180x180.jpg
2014-11-26,Black Widow,Iggy Azalea Featuring Rita Ora,18,11,4,16,https://charts-static.billboard.com/img/2013/07/iggy-azalea-bza-180x180.jpg
2014-11-26,I'm Not The Only One,Sam Smith,19,16,13,8,https://charts-static.billboard.com/img/2014/06/sam-smith-jw8-imnottheonlyone-6yi-180x180.jpg
2014-11-26,Only,Nicki Minaj Featuring Drake| Lil Wayne & Chris Brown,20,20,1,-,https://charts-static.billboard.com/img/2009/08/nicki-minaj-2j4-180x180.jpg
2014-11-26,Let It Go,Idina Menzel,21,24,2,45,https://charts-static.billboard.com/img/2005/12/idina-menzel-k1l-180x180.jpg
2014-11-26,The Heart Wants What It Wants,Selena Gomez,22,37,22,2,https://charts-static.billboard.com/img/2008/06/selena-gomez-lkr-180x180.jpg
2014-11-26,Stay With Me,Sam Smith,23,19,4,24,https://charts-static.billboard.com/img/2014/04/sam-smith-jw8-staywithme-mix-180x180.jpg
2014-11-26,Trumpets,Jason Derulo,24,17,17,11,https://charts-static.billboard.com/img/2014/05/jason-derulo-3xq-180x180.jpg
2014-11-26,Break Free,Ariana Grande Featuring Zedd,25,21,3,19,https://charts-static.billboard.com/img/2014/07/ariana-grande-ypy-180x180.jpg
2014-11-26,Fancy,Iggy Azalea Featuring Charli XCX,26,20,1,32,https://charts-static.billboard.com/img/2014/03/iggy-azalea-68u-180x180.jpg
2014-11-26,Rude,MAGIC!,27,18,2,27,https://charts-static.billboard.com/img/2013/12/magic-1-yin-106x106.jpg
2014-11-26,Don't Tell 'Em,Jeremih Featuring YG,28,22,22,12,https://charts-static.billboard.com/img/2009/02/jeremih-ks6-180x180.jpg
2014-11-26,Happy,Pharrell Williams,29,30,1,43,https://charts-static.billboard.com/img/2014/01/pharrell-williams-rbx-180x180.jpg
2014-11-26,No Flex Zone,Rae Sremmurd,30,23,16,13,https://charts-static.billboard.com/img/2014/06/rae-sremmurd-f07-106x106.jpg
2014-11-26,Try Me,DeJ Loaf,31,29,29,3,https://charts-static.billboard.com/img/2014/10/dej-loaf-5hf-180x180.jpg
2014-11-26,Rather Be,Clean Bandit Featuring Jess Glynne,32,25,13,20,https://charts-static.billboard.com/img/2014/01/clean-bandit-ywv-87x87.jpg
2014-11-26,Steal My Girl,One Direction,33,26,5,5,https://charts-static.billboard.com/img/2014/10/one-direction-7ru-180x180.jpg
2014-11-26,Problem,Ariana Grande Featuring Iggy Azalea,34,27,2,29,https://charts-static.billboard.com/img/2014/05/ariana-grande-ypy-180x180.jpg
2014-11-26,Cool Kids,Echosmith,35,32,29,13,https://charts-static.billboard.com/img/2014/06/echosmith-fsi-106x106.jpg
2014-11-26,All Of Me,John Legend,36,28,2,45,https://charts-static.billboard.com/img/2004/04/john-legend-035-180x180.jpg
2014-11-26,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,37,33,16,34,https://charts-static.billboard.com/img/2013/09/ty-dolla-sign-c0d-180x180.jpg
2014-11-26,Don't,Ed Sheeran,38,35,29,13,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2014-11-26,About The Money,T.I. Featuring Young Thug,39,34,26,10,https://charts-static.billboard.com/img/2001/08/ti-e27-180x180.jpg
2014-11-26,New Flame,Chris Brown Featuring Usher & Rick Ross,40,38,21,14,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg
2014-11-26,Dark Horse,Katy Perry Featuring Juicy J,41,40,1,56,https://charts-static.billboard.com/img/2013/10/katy-perry-46r-darkhorse-mm3-180x180.jpg
2014-11-26,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,42,36,15,23,https://charts-static.billboard.com/img/1995/10/enrique-iglesias-m5f-180x180.jpg
2014-11-26,Thinking Out Loud,Ed Sheeran,43,41,2,-,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2014-11-26,Shower,Becky G,44,39,8,21,https://charts-static.billboard.com/img/2014/05/becky-g-v9i-shower-6ar-180x180.jpg
2014-11-26,Wiggle,Jason Derulo Featuring Snoop Dogg,45,42,2,28,https://charts-static.billboard.com/img/2009/07/jason-derulo-d0c-180x180.jpg
2014-11-26,Centuries,Fall Out Boy,46,45,45,4,https://charts-static.billboard.com/img/2004/01/fall-out-boy-zhw-106x106.jpg
2014-11-26,Blame,Calvin Harris Featuring John Newman,47,41,28,10,https://charts-static.billboard.com/img/2014/09/calvin-harris-s9n-180x180.jpg
2014-11-26,Hold You Down,DJ Khaled Featuring Chris Brown| August Alsina| Future & Jeremih,48,44,44,2,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
2014-11-26,L.A.LOVE (la la),Fergie,49,49,1,-,https://charts-static.billboard.com/img/2014/10/fergie-8pu-180x180.jpg
2014-11-26,Waves,Mr. Probz,50,46,45,3,https://charts-static.billboard.com/img/2014/05/mr-probz-ul5-155x155.jpg
2014-12-03,Blank Space,Taylor Swift,1,1,1,2,https://charts-static.billboard.com/img/2014/11/taylor-swift-9sy-blankspace-3be-180x180.jpg
2014-12-03,All About That Bass,Meghan Trainor,2,2,1,17,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
2014-12-03,Hot Boy,Bobby Shmurda,3,4,3,16,https://charts-static.billboard.com/img/2014/07/bobby-shmurda-7fv-180x180.jpg
2014-12-03,Shake It Off,Taylor Swift,4,3,1,14,https://charts-static.billboard.com/img/2014/08/taylor-swift-9sy-shakeitoff-k72-180x180.jpg
2014-12-03,No Type,Rae Sremmurd,5,5,5,8,https://charts-static.billboard.com/img/2014/09/rae-sremmurd-f07-106x106.jpg
2014-12-03,I Don't F**k With You,Big Sean Featuring E-40,6,7,6,6,https://charts-static.billboard.com/img/2011/01/big-sean-obf-180x180.jpg
2014-12-03,Take Me To Church,Hozier,7,12,7,6,https://charts-static.billboard.com/img/2014/04/hozier-yyf-takemetochurch-ljk-180x180.jpg
2014-12-03,Tuesday,I LOVE MAKONNEN Featuring Drake,8,6,6,5,https://charts-static.billboard.com/img/2014/09/i-love-makonnen-sw9-180x180.jpg
2014-12-03,Love Me Harder,Ariana Grande & The Weeknd,9,11,4,5,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-180x180.jpg
2014-12-03,Bang Bang,Jessie J| Ariana Grande & Nicki Minaj,10,10,3,17,https://charts-static.billboard.com/img/2011/01/jessie-j-zrp-106x106.jpg
2014-12-03,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,11,8,4,19,https://charts-static.billboard.com/img/2014/02/young-thug-jvh-180x180.jpg
2014-12-03,Habits (Stay High),Tove Lo,12,9,5,26,https://charts-static.billboard.com/img/2013/10/tove-lo-8n0-180x180.jpg
2014-12-03,Mary; Did You Know?,Pentatonix,13,13,1,-,https://charts-static.billboard.com/img/2011/12/pentatonix-bsy-180x180.jpg
2014-12-03,Animals,Maroon 5,14,13,9,12,https://charts-static.billboard.com/img/2014/09/maroon-5-9st-180x180.jpg
2014-12-03,Jealous,Nick Jonas,15,15,15,5,https://charts-static.billboard.com/img/2004/12/nick-jonas-bvx-180x180.jpg
2014-12-03,Let It Go,Idina Menzel,16,21,2,46,https://charts-static.billboard.com/img/2005/12/idina-menzel-k1l-180x180.jpg
2014-12-03,I'm Not The Only One,Sam Smith,17,19,13,9,https://charts-static.billboard.com/img/2014/06/sam-smith-jw8-imnottheonlyone-6yi-180x180.jpg
2014-12-03,Lips Are Movin,Meghan Trainor,18,18,1,-,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
2014-12-03,The Heart Wants What It Wants,Selena Gomez,19,22,19,3,https://charts-static.billboard.com/img/2008/06/selena-gomez-lkr-180x180.jpg
2014-12-03,Chandelier,Sia,20,14,5,28,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
2014-12-03,Gangnam Style,PSY,21,16,1,83,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnam-style-gr3-180x180.jpg
2014-12-03,Black Widow,Iggy Azalea Featuring Rita Ora,22,18,4,17,https://charts-static.billboard.com/img/2013/07/iggy-azalea-bza-180x180.jpg
2014-12-03,Anaconda,Nicki Minaj,23,17,1,15,https://charts-static.billboard.com/img/2014/08/nicki-minaj-000-anaconda-72l-180x180.jpg
2014-12-03,Steal My Girl,One Direction,24,33,5,6,https://charts-static.billboard.com/img/2014/10/one-direction-7ru-180x180.jpg
2014-12-03,Only,Nicki Minaj Featuring Drake| Lil Wayne & Chris Brown,25,20,20,2,https://charts-static.billboard.com/img/2009/08/nicki-minaj-2j4-180x180.jpg
2014-12-03,Mountain Song,Jane's Addiction,26,26,1,-,https://charts-static.billboard.com/img/2014/12/janes-addiction-uqz-106x106.jpg
2014-12-03,Trumpets,Jason Derulo,27,24,17,12,https://charts-static.billboard.com/img/2014/05/jason-derulo-3xq-180x180.jpg
2014-12-03,Stay With Me,Sam Smith,28,23,4,25,https://charts-static.billboard.com/img/2014/04/sam-smith-jw8-staywithme-mix-180x180.jpg
2014-12-03,Rude,MAGIC!,29,27,2,28,https://charts-static.billboard.com/img/2013/12/magic-1-yin-106x106.jpg
2014-12-03,No Flex Zone,Rae Sremmurd,30,30,16,14,https://charts-static.billboard.com/img/2014/06/rae-sremmurd-f07-106x106.jpg
2014-12-03,Fancy,Iggy Azalea Featuring Charli XCX,31,26,1,33,https://charts-static.billboard.com/img/2014/03/iggy-azalea-68u-180x180.jpg
2014-12-03,Don't Tell 'Em,Jeremih Featuring YG,32,28,22,13,https://charts-static.billboard.com/img/2009/02/jeremih-ks6-180x180.jpg
2014-12-03,Break Free,Ariana Grande Featuring Zedd,33,25,3,20,https://charts-static.billboard.com/img/2014/07/ariana-grande-ypy-180x180.jpg
2014-12-03,Happy,Pharrell Williams,34,29,1,44,https://charts-static.billboard.com/img/2014/01/pharrell-williams-rbx-180x180.jpg
2014-12-03,Try Me,DeJ Loaf,35,31,29,4,https://charts-static.billboard.com/img/2014/10/dej-loaf-5hf-180x180.jpg
2014-12-03,Problem,Ariana Grande Featuring Iggy Azalea,36,34,2,30,https://charts-static.billboard.com/img/2014/05/ariana-grande-ypy-180x180.jpg
2014-12-03,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,37,37,16,35,https://charts-static.billboard.com/img/2013/09/ty-dolla-sign-c0d-180x180.jpg
2014-12-03,Thinking Out Loud,Ed Sheeran,38,43,38,3,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2014-12-03,Rather Be,Clean Bandit Featuring Jess Glynne,39,32,13,21,https://charts-static.billboard.com/img/2014/01/clean-bandit-ywv-87x87.jpg
2014-12-03,All Of Me,John Legend,40,36,2,46,https://charts-static.billboard.com/img/2004/04/john-legend-035-180x180.jpg
2014-12-03,Cool Kids,Echosmith,41,35,29,14,https://charts-static.billboard.com/img/2014/06/echosmith-fsi-106x106.jpg
2014-12-03,Don't,Ed Sheeran,42,38,29,14,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2014-12-03,Centuries,Fall Out Boy,43,46,43,5,https://charts-static.billboard.com/img/2004/01/fall-out-boy-zhw-106x106.jpg
2014-12-03,About The Money,T.I. Featuring Young Thug,44,39,26,11,https://charts-static.billboard.com/img/2001/08/ti-e27-180x180.jpg
2014-12-03,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,45,42,15,24,https://charts-static.billboard.com/img/1995/10/enrique-iglesias-m5f-180x180.jpg
2014-12-03,Dark Horse,Katy Perry Featuring Juicy J,46,41,1,57,https://charts-static.billboard.com/img/2013/10/katy-perry-46r-darkhorse-mm3-180x180.jpg
2014-12-03,Hold You Down,DJ Khaled Featuring Chris Brown| August Alsina| Future & Jeremih,47,48,44,3,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
2014-12-03,Blame,Calvin Harris Featuring John Newman,48,47,28,11,https://charts-static.billboard.com/img/2014/09/calvin-harris-s9n-180x180.jpg
2014-12-03,Wiggle,Jason Derulo Featuring Snoop Dogg,49,45,2,29,https://charts-static.billboard.com/img/2009/07/jason-derulo-d0c-180x180.jpg
2014-12-03,Night Changes,One Direction,50,50,1,-,https://charts-static.billboard.com/img/2014/11/one-direction-rlp-nightchanges-oyl-180x180.jpg
2014-12-10,Blank Space,Taylor Swift,1,1,1,3,https://charts-static.billboard.com/img/2014/11/taylor-swift-9sy-blankspace-3be-180x180.jpg
2014-12-10,All About That Bass,Meghan Trainor,2,2,1,18,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
2014-12-10,Shake It Off,Taylor Swift,3,4,1,15,https://charts-static.billboard.com/img/2014/08/taylor-swift-9sy-shakeitoff-k72-180x180.jpg
2014-12-10,Hot Boy,Bobby Shmurda,4,3,3,17,https://charts-static.billboard.com/img/2014/07/bobby-shmurda-7fv-180x180.jpg
2014-12-10,The Heart Wants What It Wants,Selena Gomez,5,19,5,4,https://charts-static.billboard.com/img/2008/06/selena-gomez-lkr-180x180.jpg
2014-12-10,No Type,Rae Sremmurd,6,5,5,9,https://charts-static.billboard.com/img/2014/09/rae-sremmurd-f07-106x106.jpg
2014-12-10,Love Me Harder,Ariana Grande & The Weeknd,7,9,4,6,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-180x180.jpg
2014-12-10,I Don't F**k With You,Big Sean Featuring E-40,8,6,6,7,https://charts-static.billboard.com/img/2011/01/big-sean-obf-180x180.jpg
2014-12-10,Take Me To Church,Hozier,9,7,7,7,https://charts-static.billboard.com/img/2014/04/hozier-yyf-takemetochurch-ljk-180x180.jpg
2014-12-10,Tuesday,I LOVE MAKONNEN Featuring Drake,10,8,6,6,https://charts-static.billboard.com/img/2014/09/i-love-makonnen-sw9-180x180.jpg
2014-12-10,Bang Bang,Jessie J| Ariana Grande & Nicki Minaj,11,10,3,18,https://charts-static.billboard.com/img/2011/01/jessie-j-zrp-106x106.jpg
2014-12-10,7/11,Beyonce,12,12,1,-,https://charts-static.billboard.com/img/2002/06/beyonce-0na-180x180.jpg
2014-12-10,Lips Are Movin,Meghan Trainor,13,18,13,2,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
2014-12-10,Let It Go,Idina Menzel,14,16,2,47,https://charts-static.billboard.com/img/2005/12/idina-menzel-k1l-180x180.jpg
2014-12-10,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,15,11,4,20,https://charts-static.billboard.com/img/2014/02/young-thug-jvh-180x180.jpg
2014-12-10,I'm Not The Only One,Sam Smith,16,17,13,10,https://charts-static.billboard.com/img/2014/06/sam-smith-jw8-imnottheonlyone-6yi-180x180.jpg
2014-12-10,Gangnam Style,PSY,17,21,1,84,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnam-style-gr3-180x180.jpg
2014-12-10,Habits (Stay High),Tove Lo,18,12,5,27,https://charts-static.billboard.com/img/2013/10/tove-lo-8n0-180x180.jpg
2014-12-10,Animals,Maroon 5,19,14,9,13,https://charts-static.billboard.com/img/2014/09/maroon-5-9st-180x180.jpg
2014-12-10,Jealous,Nick Jonas,20,15,15,6,https://charts-static.billboard.com/img/2004/12/nick-jonas-bvx-180x180.jpg
2014-12-10,CoCo,O.T. Genasis,21,21,1,-,https://charts-static.billboard.com/img/2014/11/ot-genasis-206-180x180.jpg
2014-12-10,Chandelier,Sia,22,20,5,29,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
2014-12-10,Anaconda,Nicki Minaj,23,23,1,16,https://charts-static.billboard.com/img/2014/08/nicki-minaj-000-anaconda-72l-180x180.jpg
2014-12-10,Black Widow,Iggy Azalea Featuring Rita Ora,24,22,4,18,https://charts-static.billboard.com/img/2013/07/iggy-azalea-bza-180x180.jpg
2014-12-10,Night Changes,One Direction,25,50,25,2,https://charts-static.billboard.com/img/2014/11/one-direction-rlp-nightchanges-oyl-180x180.jpg
2014-12-10,Only,Nicki Minaj Featuring Drake| Lil Wayne & Chris Brown,26,25,20,3,https://charts-static.billboard.com/img/2009/08/nicki-minaj-2j4-180x180.jpg
2014-12-10,Uptown Funk!,Mark Ronson Featuring Bruno Mars,27,27,1,-,https://charts-static.billboard.com/img/2014/11/mark-ronson-9s8-180x180.jpg
2014-12-10,Fancy,Iggy Azalea Featuring Charli XCX,28,31,1,34,https://charts-static.billboard.com/img/2014/03/iggy-azalea-68u-180x180.jpg
2014-12-10,Stay With Me,Sam Smith,29,28,4,26,https://charts-static.billboard.com/img/2014/04/sam-smith-jw8-staywithme-mix-180x180.jpg
2014-12-10,Rude,MAGIC!,30,29,2,29,https://charts-static.billboard.com/img/2013/12/magic-1-yin-106x106.jpg
2014-12-10,Trumpets,Jason Derulo,31,27,17,13,https://charts-static.billboard.com/img/2014/05/jason-derulo-3xq-180x180.jpg
2014-12-10,Steal My Girl,One Direction,32,24,5,7,https://charts-static.billboard.com/img/2014/10/one-direction-7ru-180x180.jpg
2014-12-10,Break Free,Ariana Grande Featuring Zedd,33,33,3,21,https://charts-static.billboard.com/img/2014/07/ariana-grande-ypy-180x180.jpg
2014-12-10,No Flex Zone,Rae Sremmurd,34,30,16,15,https://charts-static.billboard.com/img/2014/06/rae-sremmurd-f07-106x106.jpg
2014-12-10,Don't Tell 'Em,Jeremih Featuring YG,35,32,22,14,https://charts-static.billboard.com/img/2009/02/jeremih-ks6-180x180.jpg
2014-12-10,Problem,Ariana Grande Featuring Iggy Azalea,36,36,2,31,https://charts-static.billboard.com/img/2014/05/ariana-grande-ypy-180x180.jpg
2014-12-10,Thinking Out Loud,Ed Sheeran,37,38,37,4,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2014-12-10,Try Me,DeJ Loaf,38,35,29,5,https://charts-static.billboard.com/img/2014/10/dej-loaf-5hf-180x180.jpg
2014-12-10,L.A.LOVE (la la),Fergie,39,39,2,-,https://charts-static.billboard.com/img/2014/10/fergie-8pu-180x180.jpg
2014-12-10,Guts Over Fear,Eminem Featuring Sia,40,40,1,-,https://charts-static.billboard.com/img/1998/10/eminem-6zg.jpg
2014-12-10,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,41,37,16,36,https://charts-static.billboard.com/img/2013/09/ty-dolla-sign-c0d-180x180.jpg
2014-12-10,Happy,Pharrell Williams,42,34,1,45,https://charts-static.billboard.com/img/2014/01/pharrell-williams-rbx-180x180.jpg
2014-12-10,All Of Me,John Legend,43,40,2,47,https://charts-static.billboard.com/img/2004/04/john-legend-035-180x180.jpg
2014-12-10,Dark Horse,Katy Perry Featuring Juicy J,44,46,1,58,https://charts-static.billboard.com/img/2013/10/katy-perry-46r-darkhorse-mm3-180x180.jpg
2014-12-10,Rather Be,Clean Bandit Featuring Jess Glynne,45,39,13,22,https://charts-static.billboard.com/img/2014/01/clean-bandit-ywv-87x87.jpg
2014-12-10,Don't,Ed Sheeran,46,42,29,15,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2014-12-10,Cool Kids,Echosmith,47,41,29,15,https://charts-static.billboard.com/img/2014/06/echosmith-fsi-106x106.jpg
2014-12-10,About The Money,T.I. Featuring Young Thug,48,44,26,12,https://charts-static.billboard.com/img/2001/08/ti-e27-180x180.jpg
2014-12-10,Centuries,Fall Out Boy,49,43,43,6,https://charts-static.billboard.com/img/2004/01/fall-out-boy-zhw-106x106.jpg
2014-12-10,Hold You Down,DJ Khaled Featuring Chris Brown| August Alsina| Future & Jeremih,50,47,44,4,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
2014-12-17,Blank Space,Taylor Swift,1,1,1,4,https://charts-static.billboard.com/img/2014/11/taylor-swift-9sy-blankspace-3be-180x180.jpg
2014-12-17,7/11,Beyonce,2,12,2,2,https://charts-static.billboard.com/img/2002/06/beyonce-0na-180x180.jpg
2014-12-17,All About That Bass,Meghan Trainor,3,2,1,19,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
2014-12-17,Let It Go,Idina Menzel,4,14,2,48,https://charts-static.billboard.com/img/2005/12/idina-menzel-k1l-180x180.jpg
2014-12-17,Shake It Off,Taylor Swift,5,3,1,16,https://charts-static.billboard.com/img/2014/08/taylor-swift-9sy-shakeitoff-k72-180x180.jpg
2014-12-17,Take Me To Church,Hozier,6,9,6,8,https://charts-static.billboard.com/img/2014/04/hozier-yyf-takemetochurch-ljk-180x180.jpg
2014-12-17,Hot Boy,Bobby Shmurda,7,4,3,18,https://charts-static.billboard.com/img/2014/07/bobby-shmurda-7fv-180x180.jpg
2014-12-17,Lips Are Movin,Meghan Trainor,8,13,8,3,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg
2014-12-17,No Type,Rae Sremmurd,9,6,5,10,https://charts-static.billboard.com/img/2014/09/rae-sremmurd-f07-106x106.jpg
2014-12-17,The Heart Wants What It Wants,Selena Gomez,10,5,5,5,https://charts-static.billboard.com/img/2008/06/selena-gomez-lkr-180x180.jpg
2014-12-17,Love Me Harder,Ariana Grande & The Weeknd,11,7,4,7,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-180x180.jpg
2014-12-17,Tuesday,I LOVE MAKONNEN Featuring Drake,12,10,6,7,https://charts-static.billboard.com/img/2014/09/i-love-makonnen-sw9-180x180.jpg
2014-12-17,I Don't F**k With You,Big Sean Featuring E-40,13,8,6,8,https://charts-static.billboard.com/img/2011/01/big-sean-obf-180x180.jpg
2014-12-17,I'm Not The Only One,Sam Smith,14,16,13,11,https://charts-static.billboard.com/img/2014/06/sam-smith-jw8-imnottheonlyone-6yi-180x180.jpg
2014-12-17,Gangnam Style,PSY,15,17,1,85,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnam-style-gr3-180x180.jpg
2014-12-17,CoCo,O.T. Genasis,16,21,16,2,https://charts-static.billboard.com/img/2014/11/ot-genasis-206-180x180.jpg
2014-12-17,Bang Bang,Jessie J| Ariana Grande & Nicki Minaj,17,11,3,19,https://charts-static.billboard.com/img/2011/01/jessie-j-zrp-106x106.jpg
2014-12-17,Chandelier,Sia,18,22,5,30,https://charts-static.billboard.com/img/2006/01/sia-0sp-180x180.jpg
2014-12-17,Jealous,Nick Jonas,19,20,15,7,https://charts-static.billboard.com/img/2004/12/nick-jonas-bvx-180x180.jpg
2014-12-17,Habits (Stay High),Tove Lo,20,18,5,28,https://charts-static.billboard.com/img/2013/10/tove-lo-8n0-180x180.jpg
2014-12-17,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,21,15,4,21,https://charts-static.billboard.com/img/2014/02/young-thug-jvh-180x180.jpg
2014-12-17,Uptown Funk!,Mark Ronson Featuring Bruno Mars,22,27,22,2,https://charts-static.billboard.com/img/2014/11/mark-ronson-9s8-180x180.jpg
2014-12-17,Animals,Maroon 5,23,19,9,14,https://charts-static.billboard.com/img/2014/09/maroon-5-9st-180x180.jpg
