Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2013-01-23,Birthday Song,2 Chainz Featuring Kanye West,43,43,1,-,https://charts-static.billboard.com/img/2011/01/2-chainz-gor-180x180.jpg
2013-01-23,Poetic Justice,Kendrick Lamar Featuring Drake,44,44,1,-,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-atc-180x180.jpg
2013-01-23,Love Sosa,Chief Keef,45,45,1,-,https://charts-static.billboard.com/img/2012/05/chief-keef-xbm-180x180.jpg
2013-01-23,Try,P!nk,46,46,1,-,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg
2013-01-23,Stubborn Love,The Lumineers,47,47,1,-,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg
2013-01-23,Titanium,David Guetta Featuring Sia,48,48,1,-,https://charts-static.billboard.com/img/2003/11/david-guetta-ruw-180x180.jpg
2013-01-23,Whistle,Flo Rida,49,49,1,-,https://charts-static.billboard.com/img/2012/05/flo-rida-8v1-106x106.jpg
2013-01-23,Bitch; Don't Kill My Vibe,Kendrick Lamar,50,50,1,-,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-atc-180x180.jpg
2013-01-30,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,1,2,https://charts-static.billboard.com/img/2012/09/macklemore-ryan-lewis-79t-thriftshop-0bd-180x180.jpg
2013-01-30,Locked Out Of Heaven,Bruno Mars,2,2,2,2,https://charts-static.billboard.com/img/2012/10/bruno-mars-c75-lockedoutofheaven-fgw-180x180.jpg
2013-01-30,F**kin Problems,A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,3,10,3,2,https://charts-static.billboard.com/img/2011/12/aap-rocky-ai8-180x180.jpg
2013-01-30,Ho Hey,The Lumineers,4,4,4,2,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg
2013-01-30,Diamonds,Rihanna,5,3,3,2,https://charts-static.billboard.com/img/2012/10/rihanna-k0p-diamonds-wld-180x180.jpg
2013-01-30,It's Time,Imagine Dragons,6,5,5,2,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-180x180.jpg
2013-01-30,Don't You Worry Child,Swedish House Mafia Featuring John Martin,7,6,6,2,https://charts-static.billboard.com/img/2012/09/swedish-house-mafia-ep7-106x106.jpg
2013-01-30,Scream & Shout,will.i.am & Britney Spears,8,9,8,2,https://charts-static.billboard.com/img/2012/12/william-eaz-106x106.jpg
2013-01-30,Radioactive,Imagine Dragons,9,7,7,2,https://charts-static.billboard.com/img/2012/08/imagine-dragons-ud7-radioactive-qrr-180x180.jpg
2013-01-30,Swimming Pools (Drank),Kendrick Lamar,10,8,8,2,https://charts-static.billboard.com/img/2012/08/kendrick-lamar-atc-swimmingpoolsdrank-9i9-180x180.jpg
2013-01-30,Sweet Nothing,Calvin Harris Featuring Florence Welch,11,15,11,2,https://charts-static.billboard.com/img/2012/10/calvin-harris-ffl-180x180.jpg
2013-01-30,Some Nights,fun.,12,11,11,2,https://charts-static.billboard.com/img/2009/09/fun-0dk-180x180.jpg
2013-01-30,Die Young,Ke$ha,13,12,12,2,https://charts-static.billboard.com/img/2012/10/kesha-1uk-dieyoung-tsg-180x180.jpg
2013-01-30,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,14,14,14,2,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
2013-01-30,One More Night,Maroon 5,15,16,15,2,https://charts-static.billboard.com/img/1840/12/maroon-5-9st-180x180.jpg
2013-01-30,Gangnam Style,PSY,16,13,13,2,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnam-style-gr3-180x180.jpg
2013-01-30,Home,Phillip Phillips,17,17,17,2,https://charts-static.billboard.com/img/1840/12/phillip-phillips-75j-180x180.jpg
2013-01-30,The A Team,Ed Sheeran,18,18,18,2,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2013-01-30,Little Talks,Of Monsters And Men,19,19,19,2,https://charts-static.billboard.com/img/2011/11/of-monsters-and-men-03q-little-talks-jig-180x180.jpg
2013-01-30,I Cry,Flo Rida,20,20,20,2,https://charts-static.billboard.com/img/2012/09/flo-rida-8v1-106x106.jpg
2013-01-30,We Are Never Ever Getting Back Together,Taylor Swift,21,21,21,2,https://charts-static.billboard.com/img/2006/07/taylor-swift-9sy-180x180.jpg
2013-01-30,Clique,Kanye West| Jay-Z| Big Sean,22,22,22,2,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg
2013-01-30,I Will Wait,Mumford & Sons,23,24,23,2,https://charts-static.billboard.com/img/2012/08/mumford-sons-miw-106x106.jpg
2013-01-30,Thinkin Bout You,Frank Ocean,24,23,23,2,https://charts-static.billboard.com/img/2011/05/frank-ocean-3ku-180x180.jpg
2013-01-30,Lights,Ellie Goulding,25,25,25,2,https://charts-static.billboard.com/img/2011/08/ellie-goulding-4hg-lights-4go-180x180.jpg
2013-01-30,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,26,26,26,2,https://charts-static.billboard.com/img/2002/08/juicy-j-veb-180x180.jpg
2013-01-30,Girl On Fire,Alicia Keys Featuring Nicki Minaj,27,28,27,2,https://charts-static.billboard.com/img/2001/03/alicia-keys-c6f-180x180.jpg
2013-01-30,I'm Different,2 Chainz,28,30,28,2,https://charts-static.billboard.com/img/2011/01/2-chainz-gor-180x180.jpg
2013-01-30,No Worries,Lil Wayne Featuring Detail,29,27,27,2,https://charts-static.billboard.com/img/1999/05/lil-wayne-5az-180x180.jpg
2013-01-30,We Are Young,fun. Featuring Janelle Monae,30,29,29,2,https://charts-static.billboard.com/img/2011/10/fun-0dk-weareyoung-siq-180x180.jpg
2013-01-30,Hall Of Fame,The Script Featuring will.i.am,31,36,31,2,https://charts-static.billboard.com/img/2012/09/the-script-lb9-106x106.jpg
2013-01-30,Call Me Maybe,Carly Rae Jepsen,32,31,31,2,https://charts-static.billboard.com/img/2008/08/carly-rae-jepsen-fhc-180x180.jpg
2013-01-30,Little Things,One Direction,33,33,33,2,https://charts-static.billboard.com/img/2011/09/one-direction-rlp-180x180.jpg
2013-01-30,Anything Could Happen,Ellie Goulding,34,39,34,2,https://charts-static.billboard.com/img/2012/09/ellie-goulding-1mr-180x180.jpg
2013-01-30,Sail,AWOLNATION,35,40,35,2,https://charts-static.billboard.com/img/2011/02/awolnation-e35-sail-sgs-180x180.jpg
2013-01-30,Somebody That I Used To Know,Gotye Featuring Kimbra,36,32,32,2,https://charts-static.billboard.com/img/2011/10/gotye-d4f-somebody-that-i-used-to-know-lme-180x180.jpg
2013-01-30,Too Close,Alex Clare,37,34,34,2,https://charts-static.billboard.com/img/2012/03/alex-clare-gdw-106x106.jpg
2013-01-30,Mercy,Kanye West| Big Sean| Pusha T| 2 Chainz,38,37,37,2,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg
2013-01-30,As Long As You Love Me,Justin Bieber Featuring Big Sean,39,35,35,2,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
2013-01-30,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,40,38,38,2,https://charts-static.billboard.com/img/2005/08/ne-yo-d8a-180x180.jpg
2013-01-30,Wanted,Hunter Hayes,41,42,41,2,#
2013-01-30,Poetic Justice,Kendrick Lamar Featuring Drake,42,44,42,2,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-atc-180x180.jpg
2013-01-30,Try,P!nk,43,46,43,2,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg
2013-01-30,Adorn,Miguel,44,41,41,2,https://charts-static.billboard.com/img/2005/12/miguel-rp9-180x180.jpg
2013-01-30,Demons,Imagine Dragons,45,45,1,-,https://charts-static.billboard.com/img/2012/08/imagine-dragons-ud7-demons-hh8-180x180.jpg
2013-01-30,Stubborn Love,The Lumineers,46,47,46,2,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg
2013-01-30,Love Sosa,Chief Keef,47,45,45,2,https://charts-static.billboard.com/img/2012/05/chief-keef-xbm-180x180.jpg
2013-01-30,Titanium,David Guetta Featuring Sia,48,48,48,2,https://charts-static.billboard.com/img/2003/11/david-guetta-ruw-180x180.jpg
2013-01-30,Bitch; Don't Kill My Vibe,Kendrick Lamar,49,50,49,2,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-atc-180x180.jpg
2013-01-30,Birthday Song,2 Chainz Featuring Kanye West,50,43,43,2,https://charts-static.billboard.com/img/2011/01/2-chainz-gor-180x180.jpg
2013-02-06,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,1,3,https://charts-static.billboard.com/img/2012/09/macklemore-ryan-lewis-79t-thriftshop-0bd-180x180.jpg
2013-02-06,F**kin Problems,A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,2,3,2,3,https://charts-static.billboard.com/img/2011/12/aap-rocky-ai8-180x180.jpg
2013-02-06,Ho Hey,The Lumineers,3,4,3,3,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg
2013-02-06,Locked Out Of Heaven,Bruno Mars,4,2,2,3,https://charts-static.billboard.com/img/2012/10/bruno-mars-c75-lockedoutofheaven-fgw-180x180.jpg
2013-02-06,It's Time,Imagine Dragons,5,6,5,3,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-180x180.jpg
2013-02-06,Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,7,6,3,https://charts-static.billboard.com/img/2012/09/swedish-house-mafia-ep7-106x106.jpg
2013-02-06,Scream & Shout,will.i.am & Britney Spears,7,8,7,3,https://charts-static.billboard.com/img/2012/12/william-eaz-106x106.jpg
2013-02-06,Diamonds,Rihanna,8,5,3,3,https://charts-static.billboard.com/img/2012/10/rihanna-k0p-diamonds-wld-180x180.jpg
2013-02-06,Radioactive,Imagine Dragons,9,9,7,3,https://charts-static.billboard.com/img/2012/08/imagine-dragons-ud7-radioactive-qrr-180x180.jpg
2013-02-06,Sweet Nothing,Calvin Harris Featuring Florence Welch,10,11,10,3,https://charts-static.billboard.com/img/2012/10/calvin-harris-ffl-180x180.jpg
2013-02-06,Swimming Pools (Drank),Kendrick Lamar,11,10,8,3,https://charts-static.billboard.com/img/2012/08/kendrick-lamar-atc-swimmingpoolsdrank-9i9-180x180.jpg
2013-02-06,Some Nights,fun.,12,12,11,3,https://charts-static.billboard.com/img/2009/09/fun-0dk-180x180.jpg
2013-02-06,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,13,14,13,3,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
2013-02-06,Little Talks,Of Monsters And Men,14,19,14,3,https://charts-static.billboard.com/img/2011/11/of-monsters-and-men-03q-little-talks-jig-180x180.jpg
2013-02-06,Die Young,Ke$ha,15,13,12,3,https://charts-static.billboard.com/img/2012/10/kesha-1uk-dieyoung-tsg-180x180.jpg
2013-02-06,Home,Phillip Phillips,16,17,16,3,https://charts-static.billboard.com/img/1840/12/phillip-phillips-75j-180x180.jpg
2013-02-06,The A Team,Ed Sheeran,17,18,17,3,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2013-02-06,One More Night,Maroon 5,18,15,15,3,https://charts-static.billboard.com/img/1840/12/maroon-5-9st-180x180.jpg
2013-02-06,Anything Could Happen,Ellie Goulding,19,34,19,3,https://charts-static.billboard.com/img/2012/09/ellie-goulding-1mr-180x180.jpg
2013-02-06,Gangnam Style,PSY,20,16,13,3,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnam-style-gr3-180x180.jpg
2013-02-06,I Cry,Flo Rida,21,20,20,3,https://charts-static.billboard.com/img/2012/09/flo-rida-8v1-106x106.jpg
2013-02-06,Lights,Ellie Goulding,22,25,22,3,https://charts-static.billboard.com/img/2011/08/ellie-goulding-4hg-lights-4go-180x180.jpg
2013-02-06,Clique,Kanye West| Jay-Z| Big Sean,23,22,22,3,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg
2013-02-06,I Will Wait,Mumford & Sons,24,23,23,3,https://charts-static.billboard.com/img/2012/08/mumford-sons-miw-106x106.jpg
2013-02-06,Girl On Fire,Alicia Keys Featuring Nicki Minaj,25,27,25,3,https://charts-static.billboard.com/img/2001/03/alicia-keys-c6f-180x180.jpg
2013-02-06,We Are Never Ever Getting Back Together,Taylor Swift,26,21,21,3,https://charts-static.billboard.com/img/2006/07/taylor-swift-9sy-180x180.jpg
2013-02-06,Thinkin Bout You,Frank Ocean,27,24,23,3,https://charts-static.billboard.com/img/2011/05/frank-ocean-3ku-180x180.jpg
2013-02-06,I'm Different,2 Chainz,28,28,28,3,https://charts-static.billboard.com/img/2011/01/2-chainz-gor-180x180.jpg
2013-02-06,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,29,26,26,3,https://charts-static.billboard.com/img/2002/08/juicy-j-veb-180x180.jpg
2013-02-06,Sail,AWOLNATION,30,35,30,3,https://charts-static.billboard.com/img/2011/02/awolnation-e35-sail-sgs-180x180.jpg
2013-02-06,Hall Of Fame,The Script Featuring will.i.am,31,31,31,3,https://charts-static.billboard.com/img/2012/09/the-script-lb9-106x106.jpg
2013-02-06,No Worries,Lil Wayne Featuring Detail,32,29,27,3,https://charts-static.billboard.com/img/1999/05/lil-wayne-5az-180x180.jpg
2013-02-06,We Are Young,fun. Featuring Janelle Monae,33,30,29,3,https://charts-static.billboard.com/img/2011/10/fun-0dk-weareyoung-siq-180x180.jpg
2013-02-06,Little Things,One Direction,34,33,33,3,https://charts-static.billboard.com/img/2011/09/one-direction-rlp-180x180.jpg
2013-02-06,Somebody That I Used To Know,Gotye Featuring Kimbra,35,36,32,3,https://charts-static.billboard.com/img/2011/10/gotye-d4f-somebody-that-i-used-to-know-lme-180x180.jpg
2013-02-06,Call Me Maybe,Carly Rae Jepsen,36,32,31,3,https://charts-static.billboard.com/img/2008/08/carly-rae-jepsen-fhc-180x180.jpg
2013-02-06,Too Close,Alex Clare,37,37,34,3,https://charts-static.billboard.com/img/2012/03/alex-clare-gdw-106x106.jpg
2013-02-06,Stubborn Love,The Lumineers,38,46,38,3,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg
2013-02-06,Wanted,Hunter Hayes,39,41,39,3,#
2013-02-06,Suit & Tie,Justin Timberlake Featuring JAY Z,40,40,1,-,https://charts-static.billboard.com/img/2002/09/justin-timberlake-8fk-180x180.jpg
2013-02-06,Poetic Justice,Kendrick Lamar Featuring Drake,41,42,41,3,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-atc-180x180.jpg
2013-02-06,Demons,Imagine Dragons,42,45,42,2,https://charts-static.billboard.com/img/2012/08/imagine-dragons-ud7-demons-hh8-180x180.jpg
2013-02-06,Mercy,Kanye West| Big Sean| Pusha T| 2 Chainz,43,38,37,3,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg
2013-02-06,Try,P!nk,44,43,43,3,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg
2013-02-06,As Long As You Love Me,Justin Bieber Featuring Big Sean,45,39,35,3,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
2013-02-06,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,46,40,38,3,https://charts-static.billboard.com/img/2005/08/ne-yo-d8a-180x180.jpg
2013-02-06,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,47,47,1,-,#
2013-02-06,Titanium,David Guetta Featuring Sia,48,48,48,3,https://charts-static.billboard.com/img/2003/11/david-guetta-ruw-180x180.jpg
2013-02-06,Bitch; Don't Kill My Vibe,Kendrick Lamar,49,49,49,3,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-atc-180x180.jpg
2013-02-06,Adorn,Miguel,50,44,41,3,https://charts-static.billboard.com/img/2005/12/miguel-rp9-180x180.jpg
2013-02-13,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,1,4,https://charts-static.billboard.com/img/2012/09/macklemore-ryan-lewis-79t-thriftshop-0bd-180x180.jpg
2013-02-13,F**kin Problems,A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,2,2,2,4,https://charts-static.billboard.com/img/2011/12/aap-rocky-ai8-180x180.jpg
2013-02-13,Ho Hey,The Lumineers,3,3,3,4,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg
2013-02-13,Locked Out Of Heaven,Bruno Mars,4,4,2,4,https://charts-static.billboard.com/img/2012/10/bruno-mars-c75-lockedoutofheaven-fgw-180x180.jpg
2013-02-13,It's Time,Imagine Dragons,5,5,5,4,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-180x180.jpg
2013-02-13,Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,6,6,4,https://charts-static.billboard.com/img/2012/09/swedish-house-mafia-ep7-106x106.jpg
2013-02-13,Scream & Shout,will.i.am & Britney Spears,7,7,7,4,https://charts-static.billboard.com/img/2012/12/william-eaz-106x106.jpg
