,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
1208,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rock']",,,,,,,,,,,,,,,Incubus,['Incubus'],Anna-Molly,8729
1209,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",224.226,True,,,,,,,,,,,,48.0,Jay-Z,"['Jay-Z', 'Chrisette Michele']",Lost One,8730
1210,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",223.12,True,,,,,,,,,,,,46.0,JAY-Z,['JAY-Z'],Show Me What You Got,8746
1211,[],,,,,,,,,,,,,,,Lady Sovereign,['Lady Sovereign'],Love Me Or Hate Me (F**k You!!!!),8753
1212,[],,,,,,,,,,,,,,,RBD,['RBD'],Tu Amor,8767
1213,"['adult standards', 'operatic pop']",,,,,,,,,,,,,,,Josh Groban,['Josh Groban'],I'll Be Home For Christmas (Live),8771
1214,,,,,,,,,,,,,,,,30 Seconds To Mars,['30 Seconds To Mars'],The Kill (Bury Me),8785
1215,"['deep pop r&b', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",,,,,,,,,,,,,,,Lyfe Jennings,['Lyfe Jennings'],S.E.X.,8786
1216,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",263.546,True,,,,,,,,,,,,48.0,JAY-Z,['JAY-Z'],Kingdom Come,8794
1217,,,,,,,,,,,,,,,,Sean Paul,"['Sean Paul', 'Keyshia Cole']",(When You Gonna) Give It Up To Me,8824
1218,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'pop rap', 'southern hip hop']",,,,,,,,,,,,,,,Lil Jon,"['Lil Jon', 'E-40', 'Sean Paul Of The YoungBloodZ']",Snap Yo Fingers,8843
1219,[],,,,,,,,,,,,,,,Ashley Parker Angel,['Ashley Parker Angel'],Let U Go,8915
1220,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,DJ Khaled,"['DJ Khaled', 'Lil Wayne', ' Paul Wall', ' Fat Joe', ' Rick Ross', 'Pitbull']",Holla At Me,8941
1221,,,,,,,,,,,,,,,,Mary J. Blige,"['Mary J. Blige', 'U2']",One,8960
1222,[],,,,,,,,,,,,,,,Ashley Parker Angel,['Ashley Parker Angel'],Soundtrack To Your Life,8967
1223,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",,,,,,,,,,,,,,,Bow Wow,"['Bow Wow', 'J-Kwon', 'Jermaine Dupri']",Fresh Azimiz,9003
1224,"['hollywood', 'post-teen pop', 'show tunes']",,,,,,,,,,,,,,,Zac Efron,"['Zac Efron', ' Andrew Seeley', 'Vanessa Anne Hudgens']",Breaking Free,9026
1225,"['gangster rap', 'harlem hip hop', 'hip hop', 'nyc rap', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,Juelz Santana,['Juelz Santana'],Oh Yes (aka 'Postman'),9031
1226,,,,,,,,,,,,,,,,Purple Ribbon All-Stars,['Purple Ribbon All-Stars'],Kryptonite (I'm On It),9043
1227,[],,,,,,,,,,,,,,,Young Jeezy,['Young Jeezy'],My Hood,9044
1228,[],,,,,,,,,,,,,,,Bird York,['Bird York'],In The Deep,9050
1229,[],,,,,,,,,,,,,,,Andrew Seeley,['Andrew Seeley'],Get'cha Head In The Game,9070
1230,"['hollywood', 'post-teen pop', 'show tunes']",,,,,,,,,,,,,,,Zac Efron,"['Zac Efron', ' Andrew Seeley', 'Vanessa Anne Hudgens']",Start Of Something New,9072
1231,[],,,,,,,,,,,,,,,Michael Stipe,['Michael Stipe'],In The Sun,9076
1232,['post-teen pop'],,,,,,,,,,,,,,,Lucas Grabeel,"['Lucas Grabeel', 'Ashley Tisdale']",What I've Been Looking For,9078
1233,['post-teen pop'],,,,,,,,,,,,,,,Lucas Grabeel,"['Lucas Grabeel', 'Ashley Tisdale']",Bop To The Top,9084
1234,[],,,,,,,,,,,,,,,Young Jeezy,"['Young Jeezy', 'Akon']",Soul Survivor,9088
1235,[],,,,,,,,,,,,,,,Andrew Seeley,"['Andrew Seeley', 'Vanessa Anne Hudgens']",What I've Been Looking For (Reprise),9089
1236,,,,,,,,,,,,,,,,Vanessa Anne Hudgens,['Vanessa Anne Hudgens'],When There Was Me And You,9090
1237,,,,,,,,,,,,,,,,Shakira,"['Shakira', 'Alejandro Sanz']",La Tortura,9149
1238,[],,,,,,,,,,,,,,,D.H.T.,['D.H.T.'],Listen To Your Heart,9150
1239,,,,,,,,,,,,,,,,50 Cent,"['50 Cent', 'Mobb Deep']",Outta Control (Remix),9158
1240,[],,,,,,,,,,,,,,,Marcos Hernandez,['Marcos Hernandez'],If You Were Mine,9171
1241,"['emo', 'pop punk']",,,,,,,,,,,,,,,My Chemical Romance,['My Chemical Romance'],Helena (So Long & Goodnight),9190
1242,[],,,,,,,,,,,,,,,Young Jeezy,"['Young Jeezy', 'Mannie Fresh']",And Then What,9212
1243,"['canadian pop punk', 'canadian punk', 'canadian rock', 'pop punk', 'post-grunge']",,,,,,,,,,,,,,,Simple Plan,['Simple Plan'],Untitled (How Can This Happen To Me?),9236
1244,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",,,,,,,,,,,,,,,System Of A Down,['System Of A Down'],B.Y.O.B.,9240
1245,,,,,,,,,,,,,,,,Paul McCartney,"['Paul McCartney', 'U2']",Sgt. Pepper's Lonely Hearts Club Band,9269
1246,"['dance pop', 'pop rap', 'r&b', 'urban contemporary']",,,,,,,,,,,,,,,Frankie J,"['Frankie J', 'Baby Bash']",Obsession (No Es Amor),9302
1247,"['alternative rock', 'anti-folk', 'garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock']",,,,,,,,,,,,,,,Beck,['Beck'],E-Pro,9325
