,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
59,,"['pop', 'r&b']",203.383,False,0.876,0.628,1,-6.595,1,0.0935,0.0165,0.0339,0.0938,0.809,118.028,62,Beyoncé,,MOVE (feat. Grace Jones & Tems),1418
60,,"['pop', 'r&b']",288.254,True,0.857,0.558,1,-7.888,1,0.134,0.0122,4.8e-05,0.288,0.453,123.973,64,Beyoncé,,PURE/HONEY,1419
61,,"['pop', 'r&b']",198.897,True,0.789,0.614,1,-6.491,1,0.0579,0.00348,0.00152,0.283,0.108,126.035,65,Beyoncé,,AMERICA HAS A PROBLEM,1420
62,,"['pop', 'r&b']",169.819,True,0.744,0.577,9,-7.228,1,0.0631,0.0672,3.06e-06,0.178,0.0805,135.869,59,Beyoncé,,ALL UP IN YOUR MIND,1421
63,,"['contemporary country', 'country', 'country road', 'modern country rock']",196.026,False,0.582,0.797,5,-4.926,1,0.0334,0.23,0.0,0.132,0.595,135.973,57,Jason Aldean,,Trouble with a Heartbreak,1422
64,,['australian hip hop'],164.781,True,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565,68,The Kid LAROI,,THOUSAND MILES,1423
65,,"['pop', 'singer-songwriter pop', 'uk pop']",153.626,False,0.763,0.661,4,-5.592,0,0.056,0.169,0.0,0.117,0.632,95.002,63,Ed Sheeran,,2step,1424
66,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",336.924,False,0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,69,Drake,,Massive,1425
67,,"['contemporary country', 'country', 'country road']",187.432,False,0.512,0.838,7,-3.82,1,0.0308,0.0419,0.000242,0.112,0.326,156.039,53,Jake Owen,,Best Thing Since Backroads,1426
68,,['pop'],153.0,True,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,73,Dove Cameron,,Boyfriend,1427
69,,['lgbtq+ hip hop'],143.901,True,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,76,Lil Nas X,,THATS WHAT I WANT,1429
70,,"['dance pop', 'pop']",172.626,True,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,82,Doja Cat,,Woman,1430
71,,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",181.393,True,0.795,0.526,6,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037,63,Lil Durk,,What Happened To Virgil (feat. Gunna),1431
72,,"['art pop', 'pop']",281.38,False,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214,81,Billie Eilish,,TV,1432
73,,[],187.48,False,0.518,0.662,3,-5.235,1,0.0311,0.0432,0.0,0.115,0.583,151.954,33,John Rich,,Progress,1433
74,,"['art pop', 'pop']",216.448,False,0.387,0.135,7,-14.398,1,0.051,0.929,0.0,0.0948,0.21,82.987,72,Billie Eilish,,The 30th,1434
75,,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",220.779,True,0.907,0.577,1,-6.737,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,67,Kendrick Lamar,,Silent Hill,1435
76,,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",146.732,True,0.936,0.497,1,-7.185,1,0.41,0.0324,0.0,0.111,0.364,138.016,55,Moneybagg Yo,,See Wat I’m Sayin,1436
77,,"['hip hop', 'pittsburgh rap', 'rap']",162.875,True,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.829,75,Mac Miller,,Love Lost,1437
78,,"['dance pop', 'pop']",216.135,True,0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,66,Pharrell Williams,,Cash In Cash Out,1438
79,,"['colombian pop', 'dance pop', 'latin pop', 'pop']",172.235,False,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,71,Shakira,,Te Felicito,1439
80,,"['hawaiian hip hop', 'pop rap']",156.083,True,0.587,0.61,10,-6.881,0,0.234,0.0402,0.0,0.167,0.556,130.063,60,Russ,,Are You Entertained,1440
81,,"['atl hip hop', 'atl trap', 'rap', 'trap']",213.975,True,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991,61,Lil Baby,,Right On,1441
82,,"['pop', 'singer-songwriter pop', 'uk pop']",230.746,False,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,80,Ed Sheeran,,Bad Habits,1442
83,,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",515.386,False,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,72,Metallica,,Master of Puppets (Remastered),1443
84,,['modern country pop'],214.405,False,0.544,0.459,7,-5.908,1,0.0266,0.119,0.0,0.0831,0.231,128.062,72,ERNEST,,Flower Shops (feat. Morgan Wallen),1444
85,,"['contemporary country', 'country', 'country road', 'modern country rock']",221.4,False,0.528,0.718,7,-6.954,1,0.0337,0.1,0.0,0.304,0.51,155.759,56,Tim McGraw,,7500 OBO,1445
86,,"['dance pop', 'pop']",206.07,False,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,71,Camila Cabello,,Bam Bam (feat. Ed Sheeran),1446
87,,"['k-pop', 'k-rap']",159.761,True,0.938,0.798,1,-3.998,1,0.103,0.00813,7.03e-05,0.146,0.265,99.992,65,j-hope,,Arson,1447
88,,"['r&b', 'rap']",226.011,True,0.574,0.369,1,-8.931,0,0.0814,0.753,0.0,0.147,0.44,84.975,61,Brent Faiyaz,,LOOSE CHANGE,1448
89,,"['r&b', 'rap']",379.004,True,0.428,0.367,9,-9.905,1,0.0914,0.132,0.0,0.149,0.174,71.184,58,Brent Faiyaz,,PRICE OF FAME,1449
90,,"['canadian pop', 'pop', 'viral pop']",172.266,False,0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148,71,Shawn Mendes,,When You're Gone,1450
91,,"['r&b', 'rap']",214.692,True,0.541,0.619,1,-8.746,0,0.254,0.167,0.00633,0.144,0.491,163.908,68,Brent Faiyaz,,"GRAVITY (FEAT. TYLER, THE CREATOR)",1451
92,,"['art pop', 'dance pop', 'pop']",225.3,False,0.519,0.617,7,-4.287,1,0.0313,0.0387,0.0,0.401,0.222,147.708,68,Lady Gaga,,Hold My Hand,1452
93,,"['r&b', 'rap']",162.006,True,0.462,0.273,11,-11.768,0,0.0622,0.903,3.71e-05,0.101,0.334,141.33,71,Brent Faiyaz,,ROLLING STONE,1453
94,,"['classic texas country', 'contemporary country']",195.76,False,0.591,0.814,4,-4.986,1,0.0468,0.015,0.0,0.117,0.815,149.9,47,Maren Morris,,Circles Around This Town,1454
